incident_number,date_reported,date_occurred,badge_id,offense_classification,offense_code_name,nibrs_code,nibrs_group_name,was_offense_completed,lmpd_division,lmpd_beat,location_category,block_address,city,zip_code,ObjectId
LMPD24127388,10/31/2024 2:47:00 PM,10/28/2024 9:35:00 PM,8611,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,4TH DIVISION,436,SERVICE/GAS STATION,4700 BLOCK S 3RD ST,LOUISVILLE,40214,11929
LMPD24127496,10/31/2024 7:16:00 PM,10/8/2024 8:49:00 PM,8454,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,3RD DIVISION,331,DEPARTMENT/DISCOUNT STORE,6800 BLOCK DIXIE HWY,LOUISVILLE,40258,11930
LMPD24126977,10/30/2024 4:05:00 PM,10/22/2024 12:00:00 PM,7205,7 FORCIBLE FONDLING,SEXUAL ABUSE - 1ST DEGREE- VICTIM U/12 YOA 510.110 11221 11D,11D,A,YES,7TH DIVISION,724,RESIDENCE/HOME,10300 BLOCK COOPERWOOD CT,LOUISVILLE,40229,11931
LMPD24127404,10/31/2024 2:45:00 PM,10/31/2024 2:45:00 PM,7805,12 INTIMIDATION,MENACING 508.050 00803 13C,13C,A,YES,1ST DIVISION,135,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,800 BLOCK MARSHALL ST,LOUISVILLE,40204,11932
LMPD24127499,10/31/2024 7:16:00 PM,10/15/2024 9:14:00 PM,8454,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,3RD DIVISION,331,DEPARTMENT/DISCOUNT STORE,6800 BLOCK DIXIE HWY,LOUISVILLE,40258,11933
LMPD24126975,10/30/2024 3:56:00 PM,10/26/2024 4:01:00 AM,8454,28 FRAUD CREDIT CARD/ATM,FRAUDULENT USE OF A CREDIT CARD $500 < $1000 434.650(1)(B)(1) 71202 26B,26B,A,YES,3RD DIVISION,334,RESIDENCE/HOME,7300 BLOCK GAYMONT DR,LOUISVILLE,40214,11934
LMPD24127387,10/31/2024 2:43:00 PM,10/27/2024 8:50:00 PM,8358,27 FRAUD,"THEFT BY FAIL TO MAKE REQ DISP OF PROPERTY $10,000 OR MORE 514.070(4)(c) 23496 26A",26A,A,YES,6TH DIVISION,612,RENTAL STORAGE FACILITY,4600 BLOCK PRESTON HWY,LOUISVILLE,40213,11935
LMPD24127501,10/31/2024 7:16:00 PM,10/16/2024 6:25:00 PM,8454,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,3RD DIVISION,331,DEPARTMENT/DISCOUNT STORE,6800 BLOCK DIXIE HWY,LOUISVILLE,40258,11936
LMPD24126982,10/30/2024 3:55:00 PM,10/30/2024 3:55:00 PM,5465,8 ROBBERY,ROBBERY - 2ND DEGREE 515.030 12003 120,120,A,YES,1ST DIVISION,111,HIGHWAY/ ROAD/ ALLEY/ STREET/ SIDEWALK,2200 BLOCK W MARKET ST,LOUISVILLE,40212,11937
LMPD24127385,10/31/2024 2:39:00 PM,10/30/2024 1:30:00 AM,8631,21 THEFT FR VEH,TBUT OR DISP CONTENTS FROM VEH 514.030 24140 23F,23F,A,YES,4TH DIVISION,436,RESIDENCE/HOME,4600 BLOCK S 6TH ST,LOUISVILLE,40214,11938
LMPD24127502,10/31/2024 7:16:00 PM,10/18/2024 5:49:00 PM,8454,18 SHOPLIFTING,"TBUT OR DISP SHOPLIFTING $500 < $1,000 514.030 24231 23C",23C,A,YES,7TH DIVISION,736,DEPARTMENT/DISCOUNT STORE,8200 BLOCK PRESTON HWY,LOUISVILLE,40219,11939
LMPD24126971,10/30/2024 3:40:00 PM,10/30/2024 2:15:00 PM,8611,18 SHOPLIFTING,TBUT OR DISP SHOPLIFTING 514.030 24230 23C,23C,A,YES,5TH DIVISION,521,SPECIALTY STORE,2700 BLOCK FRANKFORT AVE,LOUISVILLE,40206,11940
LMPD24127396,10/31/2024 2:35:00 PM,10/31/2024 2:35:00 PM,7291,51 DISORDERLY CONDUCT,DISORDERLY CONDUCT - 2ND DEGREE 525.060 02371 90C,90C,B,NO,1ST DIVISION,134,PARK/ PLAYGROUND,EVA BANDMAN PARK,LOUISVILLE,40206,11941
LMPD24126967,10/30/2024 3:31:00 PM,10/27/2024 8:00:00 PM,8373,23 THEFT OTHER,"THEFT BY DECEPTION INCLUDING COLD CHECKS $1,000 < $10,000 514.040(8)(b) 71287 23H",23H,A,YES,7TH DIVISION,712,RESIDENCE/HOME,9500 BLOCK CLUBVIEW DR,LOUISVILLE,40291,11942
LMPD24127374,10/31/2024 2:20:00 PM,10/21/2024 4:01:00 AM,8560,23 THEFT OTHER,THEFT OF MAIL MATTER 514.140 23265 23H,23H,A,YES,3RD DIVISION,322,OTHER RESIDENCE (APARTMENT/CONDO),7100 BLOCK SCHNEBLE CIR,LOUISVILLE,40214,11943
LMPD24127373,10/31/2024 2:19:00 PM,10/29/2024 10:00:00 PM,8373,23 LARCENY,"TBUT OR DISP ALL OTHERS $1,000 < $10,000 514.030 24097 23H",23H,A,YES,7TH DIVISION,735,GOVERNMENT/ PUBLIC BUILDING,1200 BLOCK OLD FERN VALLEY RD,LOUISVILLE,40219,11944
LMPD24126955,10/30/2024 3:01:00 PM,10/24/2024 4:00:00 AM,8373,28 FRAUD CREDIT CARD/ATM,FRAUDULENT USE OF A CREDIT CARD $500 < $1000 434.650(1)(B)(1) 71202 26B,26B,A,YES,5TH DIVISION,521,RESIDENCE/HOME,200 BLOCK SOUTH HITE AVE,LOUISVILLE,40206 0000,11945
